person,personLabel,date,year,date_precision,date_certainty,date_label,date_level,date_string,date_propLabel,prop_valueLabel,qual_date_prop,date_prop,prop_value,prop_label,month,day,m,nice_date,category,date_text,s
Q2126,Frances Welby,1813-01-01T00:00:00Z,1813,y,NA,point in time,main,1813-00-00,date of birth,NA,NA,P26,NA,date of birth,1,1,January,1813,birth,1813-01-01,Q2126-0891544a-43a2-082c-021d-8a5948ce1cd2
Q1374,Louisa Elizabeth Deane,1813-01-01T00:00:00Z,1813,y,NA,point in time,main,1813-00-00,date of birth,NA,NA,P26,NA,date of birth,1,1,January,1813,birth,1813-01-01,Q1374-9e335687-4f23-1d00-5727-522b62771411
Q1382,Agnes Jane Hugo,1814-01-01T00:00:00Z,1814,y,NA,point in time,main,1814-00-00,date of birth,NA,NA,P26,NA,date of birth,1,1,January,1814,birth,1814-01-01,Q1382-0b7d0024-44ae-a6ab-c386-e72691cb9175
Q2130,Ellen Elizabeth Dunkin,1814-01-01T00:00:00Z,1814,y,NA,point in time,main,1814-00-00,date of birth,NA,NA,P26,NA,date of birth,1,1,January,1814,birth,1814-01-01,Q2130-2efff616-4909-f7cf-3047-48c2c3eb4776
Q2130,Ellen Elizabeth Dunkin,1816-01-01T00:00:00Z,1816,y,NA,point in time,main,1816-00-00,date of birth,NA,NA,P26,NA,date of birth,1,1,January,1816,birth,1816-01-01,Q2130-ef8376fe-47bd-d53c-980d-1755384db6f4
Q2884,Charlotte Campbell,1818-03-17T00:00:00Z,1818,ymd,NA,point in time,main,1818-03-17,was married in (PIT value),NA,NA,P130,NA,was married in,3,76,March,17 March 1818,other,1818-03-17,Q2884-8C51C570-3CA6-4966-B828-9BA0F23FF9A8
Q2092,Mary Anne Everett Green,1818-07-19T00:00:00Z,1818,ymd,NA,point in time,main,1818-07-19,date of birth,NA,NA,P26,NA,date of birth,7,200,July,19 July 1818,birth,1818-07-19,Q2092-ACB8B046-E806-476C-8FA3-C6AC39866D18
Q2132,Anne Sopwith,1819-01-01T00:00:00Z,1819,y,NA,point in time,main,1819-00-00,date of birth,NA,NA,P26,NA,date of birth,1,1,January,1819,birth,1819-01-01,Q2132-c07bffd5-49f5-424b-b207-1b7f7f5622b3
Q1384,Elizabeth Branson,1819-01-01T00:00:00Z,1819,y,NA,point in time,main,1819-00-00,date of birth,NA,NA,P26,NA,date of birth,1,1,January,1819,birth,1819-01-01,Q1384-4a7edb72-4e75-36e8-ba64-f52073d65b92
Q929,Georgiana Susan Hurt,1819-01-01T00:00:00Z,1819,y,NA,point in time,main,1819-00-00,date of birth,NA,NA,P26,NA,date of birth,1,1,January,1819,birth,1819-01-01,Q929-355ecddb-4a13-2805-d2da-1687d8977749
Q1391,Queen Victoria,1819-05-24T00:00:00Z,1819,ymd,NA,point in time,main,1819-05-24,date of birth,NA,NA,P26,NA,date of birth,5,144,May,24 May 1819,birth,1819-05-24,Q1391-583F1C0C-14EB-4189-80E0-7A7EF0A48385
Q1068,Charlotte Elizabeth Treadwin,1820-01-01T00:00:00Z,1820,y,NA,point in time,main,1820-00-00,date of birth,NA,NA,P26,NA,date of birth,1,1,January,1820,birth,1820-01-01,Q1068-77c298e1-443e-c9cd-f4ea-c1e40ff6469a
Q1076,Mary Adelaide Walker,1820-01-01T00:00:00Z,1820,y,NA,point in time,main,1820-00-00,date of birth,NA,NA,P26,NA,date of birth,1,1,January,1820,birth,1820-01-01,Q1076-2CC30906-5DA0-48F8-97C7-428839B3C5DA
Q914,Theodora Helyar,1820-01-01T00:00:00Z,1820,y,NA,point in time,main,1820-00-00,date of birth,NA,NA,P26,NA,date of birth,1,1,January,1820,birth,1820-01-01,Q914-d26ce3f0-441c-198a-52bf-fd8a997dab2b
Q1599,Lucy Nichols,1820-07-01T00:00:00Z,1820,ym,NA,point in time,main,1820-07-00,date of birth,NA,NA,P26,NA,date of birth,7,183,July,July 1820,birth,1820-07-01,Q1599-c6fa164d-4f29-e0de-8fb6-d31857feef8c
Q877,Elizabeth Mayhew Edmonds,1821-01-01T00:00:00Z,1821,y,NA,point in time,main,1821-00-00,date of birth,NA,NA,P26,NA,date of birth,1,1,January,1821,birth,1821-01-01,Q877-4048664A-926E-4B74-B8E9-1A922BA801D4
Q488,Emily Winifred Allen,1821-01-01T00:00:00Z,1821,y,NA,point in time,main,1821-00-00,date of birth,NA,NA,P26,NA,date of birth,1,1,January,1821,birth,1821-01-01,Q488-207ea799-4b62-4d84-f29c-bd181e6769fc
Q2149,Henrietta Lambert,1821-01-01T00:00:00Z,1821,y,NA,point in time,main,1821-00-00,date of birth,NA,NA,P26,NA,date of birth,1,1,January,1821,birth,1821-01-01,Q2149-17d33ffc-424c-1c01-c04d-4c40443adf7e
Q918,Mary Agnes Hickson,1821-01-01T00:00:00Z,1821,y,NA,point in time,main,1821-00-00,date of birth,NA,NA,P26,NA,date of birth,1,1,January,1821,birth,1821-01-01,Q918-4286550A-8A2B-4971-B131-345B0CF0A2AF
Q981,Emma Bennett Mawr,1822-01-01T00:00:00Z,1822,y,NA,point in time,main,1822-00-00,date of birth,NA,NA,P26,NA,date of birth,1,1,January,1822,birth,1822-01-01,Q981-d6b02745-490c-8a8d-2128-38af757430b5
Q1366,Emily Anna Ouvry,1823-01-01T00:00:00Z,1823,y,NA,point in time,main,1823-00-00,date of birth,NA,NA,P26,NA,date of birth,1,1,January,1823,birth,1823-01-01,Q1366-94bf85df-4199-3004-dd73-a9a4d43d0b37
Q990,Henriqueta Monteiro,1823-01-01T00:00:00Z,1823,y,NA,point in time,main,1823-00-00,date of birth,NA,NA,P26,NA,date of birth,1,1,January,1823,birth,1823-01-01,Q990-90cbdf14-4bf2-bda8-b0b5-8fe797644836
Q1377,Emma Dent,1823-04-23T00:00:00Z,1823,ymd,NA,point in time,main,1823-04-23,date of birth,NA,NA,P26,NA,date of birth,4,113,April,23 April 1823,birth,1823-04-23,Q1377-CE47E6BD-F30F-4932-A989-49BE6D47C828
Q1078,Emma Georgina Elizabeth Ogier Ward,1824-01-01T00:00:00Z,1824,y,NA,point in time,main,1824-00-00,date of birth,NA,NA,P26,NA,date of birth,1,1,January,1824,birth,1824-01-01,Q1078-29ff2f73-48cb-83d1-2eed-4b4adcb83a39
Q2143,Martha Jervis,1824-03-02T00:00:00Z,1824,ymd,NA,point in time,main,1824-03-02,date of birth,NA,NA,P26,NA,date of birth,3,62,March,2 March 1824,birth,1824-03-02,Q2143-D84D4C66-54E8-4952-8EB2-F804A27A6858
Q1007,"Clara, Lady Paget",1825-01-01T00:00:00Z,1825,y,NA,point in time,main,1825-00-00,date of birth,NA,NA,P26,NA,date of birth,1,1,January,1825,birth,1825-01-01,Q1007-ffcffeab-4423-753f-7caf-f06f71f1eb14
Q21,Louisa Hay Kerr,1825-07-25T00:00:00Z,1825,ymd,NA,point in time,main,1825-07-25,was married in (PIT value),NA,NA,P130,NA,was married in,7,206,July,25 July 1825,other,1825-07-25,Q21-ed55c9e7-4a11-1f68-ff84-94b3b66dfafc
Q2419,Eleanor Grove,1826-01-01T00:00:00Z,1826,y,NA,point in time,main,1826-00-00,date of birth,NA,NA,P26,NA,date of birth,1,1,January,1826,birth,1826-01-01,Q2419-67EE3F36-6BBB-4D05-95E4-1C09D7C536C2
Q997,Harriet Georgiana Maria Murray-Aynsley,1827-01-01T00:00:00Z,1827,y,NA,point in time,main,1827-00-00,date of birth,NA,NA,P26,NA,date of birth,1,1,January,1827,birth,1827-01-01,Q997-2D0AB586-2B5C-4E46-AAEB-5B0009A07DAC
Q1380,Augusta Charlotte Elizabeth Herbert,1828-01-01T00:00:00Z,1828,y,NA,point in time,main,1828-00-00,date of birth,NA,NA,P26,NA,date of birth,1,1,January,1828,birth,1828-01-01,Q1380-7dbe8880-41f3-b370-5b76-c65d6e4cd2fb
Q848,Emily Day,1828-01-01T00:00:00Z,1828,y,NA,point in time,main,1828-00-00,date of birth,NA,NA,P26,NA,date of birth,1,1,January,1828,birth,1828-01-01,Q848-371e8b20-4f2f-6dee-09c1-f8d9e4222854
Q500,Gertrude Austin,1828-01-01T00:00:00Z,1828,y,NA,point in time,main,1828-00-00,date of birth,NA,NA,P26,NA,date of birth,1,1,January,1828,birth,1828-01-01,Q500-2488aef0-4dbb-e592-e686-a0ef6ade49ae
Q2103,Hannah Jackson Gwilt,1828-12-13T00:00:00Z,1828,ymd,NA,edtf,main,1828-12-13,was married in (EDTF value),NA,NA,P132,NA,was married in,12,348,December,13 December 1828,other,1828-12-13,Q2103-2967b7bc-4d00-3f4f-e2c1-94212b846132
Q935,Catherine Rachel Jones,1829-01-01T00:00:00Z,1829,y,NA,point in time,main,1829-00-00,date of birth,NA,NA,P26,NA,date of birth,1,1,January,1829,birth,1829-01-01,Q935-6307F869-A49F-4DAE-9738-AE0707E77847
Q1583,Florence Caroline Compton,1829-01-01T00:00:00Z,1829,y,NA,point in time,main,1829-00-00,date of birth,NA,NA,P26,NA,date of birth,1,1,January,1829,birth,1829-01-01,Q1583-8fc6e860-4d1d-74ef-8e70-78c0ad0d8ba5
Q898,Elizabeth Caroline Hamilton Gray,1829-01-01T00:00:00Z,1829,y,NA,edtf,main,1829-00-00,was married in (EDTF value),NA,NA,P132,NA,was married in,1,1,January,1829,other,1829-01-01,Q898-4afc25bb-4a78-4f05-daae-1b8d837bef69
Q1040,Helen Jemima Saunders,1830-01-01T00:00:00Z,1830,y,NA,point in time,main,1830-00-00,date of birth,NA,NA,P26,NA,date of birth,1,1,January,1830,birth,1830-01-01,Q1040-3299eacb-4b6b-01e1-7337-e77d6447e05b
Q430,Mary Anne Ewart,1830-01-01T00:00:00Z,1830,y,NA,point in time,main,1830-00-00,date of birth,NA,NA,P26,NA,date of birth,1,1,January,1830,birth,1830-01-01,Q430-C797F30B-E9AC-4F61-97F7-F0729E6F4A12
Q412,Rachel Harriette Busk,1831-01-01T00:00:00Z,1831,y,NA,point in time,main,1831-00-00,date of birth,NA,NA,P26,NA,date of birth,1,1,January,1831,birth,1831-01-01,Q412-CE0BBD6A-1BBD-4376-8E56-46C169E53415
Q2178,Sigríður Magnusson,1831-01-01T00:00:00Z,1831,y,NA,point in time,main,1831-00-00,date of birth,NA,NA,P26,NA,date of birth,1,1,January,1831,birth,1831-01-01,Q2178-7DB03AFB-8558-4ECE-AAC5-FED5BA9C83C3
Q945,Charlotte Latham,1831-01-01T00:00:00Z,1831,y,NA,edtf,main,1831-00-00,was married in (EDTF value),NA,NA,P132,NA,was married in,1,1,January,1831,other,1831-01-01,Q945-6da04e06-4986-e743-1095-618ea1ba01c9
Q878,Amelia Blandford Edwards,1831-06-07T00:00:00Z,1831,ymd,NA,point in time,main,1831-06-07,date of birth,NA,NA,P26,NA,date of birth,6,158,June,7 June 1831,birth,1831-06-07,Q878-6939D6BC-59F4-42B0-9F37-5106B4B6103A
Q815,Anne Walbank Buckland,1832-01-01T00:00:00Z,1832,y,NA,point in time,main,1832-00-00,date of birth,NA,NA,P26,NA,date of birth,1,1,January,1832,birth,1832-01-01,Q815-E5753FBF-E2AA-4C5A-ACF6-B03405B1B8DF
Q1056,Blanche Arthur Georgina Swinton,1832-01-01T00:00:00Z,1832,y,NA,point in time,main,1832-00-00,date of birth,NA,NA,P26,NA,date of birth,1,1,January,1832,birth,1832-01-01,Q1056-e58ca496-4dff-77b4-90cd-1d79f1bb71cd
Q1038,Constance Charlotte Elisa Russell,1832-01-01T00:00:00Z,1832,y,NA,point in time,main,1832-00-00,date of birth,NA,NA,P26,NA,date of birth,1,1,January,1832,birth,1832-01-01,Q1038-daea0063-43e6-5ccc-25ec-fe6546bc0e6e
Q606,Margaret Stokes,1832-01-01T00:00:00Z,1832,y,NA,point in time,main,1832-00-00,date of birth,NA,NA,P26,NA,date of birth,1,1,January,1832,birth,1832-01-01,Q606-321A65F9-BF5F-459D-98EE-095F86FD69BF
Q4091,Marianne Brocklehurst,1832-01-01T00:00:00Z,1832,y,NA,point in time,main,1832-00-00,date of birth,NA,NA,P26,NA,date of birth,1,1,January,1832,birth,1832-01-01,Q4091-452649d9-4bf0-22e7-26bb-3f360933666b
Q729,Mary Baillie-Hamilton,1832-01-01T00:00:00Z,1832,y,NA,point in time,main,1832-00-00,date of birth,NA,NA,P26,NA,date of birth,1,1,January,1832,birth,1832-01-01,Q729-5ea1a7b5-479b-8d2a-db33-f8d6892dc285
Q1690,Sophia Perry-Herrick,1832-01-01T00:00:00Z,1832,y,NA,point in time,main,1832-00-00,date of birth,NA,NA,P26,NA,date of birth,1,1,January,1832,birth,1832-01-01,Q1690-680900ae-47d3-98cd-7e97-1a207e1eaa60
Q1067,Emily Tite,1832-01-01T00:00:00Z,1832,y,NA,edtf,main,1832-00-00,was married in (EDTF value),NA,NA,P132,NA,was married in,1,1,January,1832,other,1832-01-01,Q1067-486d07f4-4759-2726-ab91-37bdc7951395
Q316,Fenella Armytage,1832-05-31T00:00:00Z,1832,ymd,NA,point in time,main,1832-05-31,date of birth,NA,NA,P26,NA,date of birth,5,152,May,31 May 1832,birth,1832-05-31,Q316-BF716419-4032-441E-BC54-011312394656
Q3658,Margaret Emily Blaauw,1832-06-16T00:00:00Z,1832,ymd,NA,edtf,main,1832-06-16,was married in (EDTF value),NA,NA,P132,NA,was married in,6,168,June,16 June 1832,other,1832-06-16,Q3658-9fd98d36-4ff1-79b4-bc17-3204bce50c30
Q1024,Annie Elizabeth Price,1833-01-01T00:00:00Z,1833,y,NA,point in time,main,1833-00-00,date of birth,NA,NA,P26,NA,date of birth,1,1,January,1833,birth,1833-01-01,Q1024-ccfc283d-4339-9788-20c2-b64a90e2c5cf
Q782,Beatrice Braithwaite Batty,1833-01-01T00:00:00Z,1833,y,NA,point in time,main,1833-00-00,date of birth,NA,NA,P26,NA,date of birth,1,1,January,1833,birth,1833-01-01,Q782-a9fabbe6-49de-3fc1-b0d5-e32947ee0c04
Q828,Frances Christina Baldwyn Childe,1833-01-01T00:00:00Z,1833,y,NA,point in time,main,1833-00-00,date of birth,NA,NA,P26,NA,date of birth,1,1,January,1833,birth,1833-01-01,Q828-e577e53c-455d-e8de-57ee-d7f70201138b
Q503,Mary Ellen Bagnall-Oakeley,1833-01-01T00:00:00Z,1833,y,NA,point in time,main,1833-00-00,date of birth,NA,NA,P26,NA,date of birth,1,1,January,1833,birth,1833-01-01,Q503-1E1B7AB9-1D0D-42CA-90E6-A59D29F0407A
Q945,Charlotte Latham,1833-01-01T00:00:00Z,1833,y,NA,edtf,main,1833-00-00,had child in,NA,NA,P131,NA,had child in,1,1,January,1833,other,1833-01-01,Q945-30b2036c-4c3c-2925-acc8-b95bfab67c02
Q898,Elizabeth Caroline Hamilton Gray,1833-01-01T00:00:00Z,1833,y,NA,edtf,main,1833-00-00,had child in,NA,NA,P131,NA,had child in,1,1,January,1833,other,1833-01-01,Q898-f571b180-47b9-9e2d-6077-8d37759a34b0
Q1570,Mary Elizabeth Chesshyre,1833-01-01T00:00:00Z,1833,y,NA,edtf,main,1833-00-00,was married in (EDTF value),NA,NA,P132,NA,was married in,1,1,January,1833,other,1833-01-01,Q1570-f75e4aed-4fe9-14e5-b664-d820108a080a
Q1376,Charlotte Schreiber,1833-07-29T00:00:00Z,1833,ymd,NA,edtf,main,1833-07-29,was married in (EDTF value),NA,NA,P132,NA,was married in,7,210,July,29 July 1833,other,1833-07-29,Q1376-086c4f06-46d5-2a8b-ec2c-5b9be0defb63
Q988,Elizabeth Harcourt Mitchell,1833-12-15T00:00:00Z,1833,ymd,NA,point in time,main,1833-12-15,date of birth,NA,NA,P26,NA,date of birth,12,349,December,15 December 1833,birth,1833-12-15,Q988-56a430db-4ee3-a504-44f6-845a89e590c6
Q1628,Elizabeth Horsley Whiteman,1834-01-01T00:00:00Z,1834,y,NA,point in time,main,1834-00-00,date of birth,NA,NA,P26,NA,date of birth,1,1,January,1834,birth,1834-01-01,Q1628-f2e42460-41ea-b90a-8de8-094f7282708b
Q1376,Charlotte Schreiber,1834-01-01T00:00:00Z,1834,y,NA,edtf,main,1834-00-00,had child in,NA,NA,P131,NA,had child in,1,1,January,1834,other,1834-01-01,Q1376-b99202a6-4af9-6a91-7559-fd0905db1c82
Q3658,Margaret Emily Blaauw,1834-01-01T00:00:00Z,1834,y,NA,edtf,main,1834-00-00,had child in,NA,NA,P131,NA,had child in,1,1,January,1834,other,1834-01-01,Q3658-10981dab-4a21-c6ad-a585-e7ea12482086
Q1374,Louisa Elizabeth Deane,1834-01-01T00:00:00Z,1834,y,NA,point in time,main,1834-00-00,was married in (PIT value),NA,NA,P130,NA,was married in,1,1,January,1834,other,1834-01-01,Q1374-1A00C06C-01B3-42C1-BE27-4C11F0079C6F
Q2114,Emily Sophia Hartshorne,1834-04-29T00:00:00Z,1834,ymd,NA,point in time,main,1834-04-29,date of birth,NA,NA,P26,NA,date of birth,4,119,April,29 April 1834,birth,1834-04-29,Q2114-5fd8d3bf-4de2-971f-307b-ab5950694e1b
Q973,Mary Mackellar,1834-10-01T00:00:00Z,1834,ymd,NA,point in time,main,1834-10-01,date of birth,NA,NA,P26,NA,date of birth,10,274,October,1 October 1834,birth,1834-10-01,Q973-53167D95-C11F-46B6-8CE9-905698C52179
Q1382,Agnes Jane Hugo,1834-12-01T00:00:00Z,1834,ym,NA,edtf,main,1834-12-00,was married in (EDTF value),NA,NA,P132,NA,was married in,12,335,December,December 1834,other,1834-12-01,Q1382-b985b774-4188-91f6-d326-332bb20faef5
Q1042,Annie Mary Sharp,1835-01-01T00:00:00Z,1835,y,NA,point in time,main,1835-00-00,date of birth,NA,NA,P26,NA,date of birth,1,1,January,1835,birth,1835-01-01,Q1042-e0c5ed87-4c1b-6ee0-e51e-756a804cd37f
Q1020,Emmeline Mary Plunket,1835-01-01T00:00:00Z,1835,y,NA,point in time,main,1835-00-00,date of birth,NA,NA,P26,NA,date of birth,1,1,January,1835,birth,1835-01-01,Q1020-60b142d4-483a-3a21-e7cf-2520fad48049
Q1376,Charlotte Schreiber,1835-01-01T00:00:00Z,1835,y,NA,edtf,main,1835-00-00,had child in,NA,NA,P131,NA,had child in,1,1,January,1835,other,1835-01-01,Q1376-2a63dafc-47f9-92fb-12f0-b925d6601335
Q1253,Margaret Susan Tyssen-Amherst,1835-01-08T00:00:00Z,1835,ymd,NA,point in time,main,1835-01-08,date of birth,NA,NA,P26,NA,date of birth,1,8,January,8 January 1835,birth,1835-01-08,Q1253-8DA67B00-6B0E-4169-982D-3A47F38D36AC
Q849,Charlotte Louisa Hawkins Dempster,1835-04-10T00:00:00Z,1835,ymd,NA,point in time,main,1835-04-10,date of birth,NA,NA,P26,NA,date of birth,4,100,April,10 April 1835,birth,1835-04-10,Q849-4906995f-4300-75a6-94fd-13ca10acc02e
Q1580,Martha Mary Smith,1835-10-14T00:00:00Z,1835,ymd,NA,point in time,main,1835-10-14,date of birth,NA,NA,P26,NA,date of birth,10,287,October,14 October 1835,birth,1835-10-14,Q1580-9A3EC95A-3B0C-46C3-ABDE-3AA9838AADEE
Q1155,Amy Wedgwood,1836-01-01T00:00:00Z,1836,y,NA,point in time,main,1836-00-00,date of birth,NA,NA,P26,NA,date of birth,1,1,January,1836,birth,1836-01-01,Q1155-eec45d3d-4d35-1428-0e9a-5792f964af74
Q779,Harriet Loyd Lindsay,1837-01-01T00:00:00Z,1837,y,NA,point in time,main,1837-00-00,date of birth,NA,NA,P26,NA,date of birth,1,1,January,1837,birth,1837-01-01,Q779-a181168c-492e-471d-c81f-d86ff48e7889
Q1039,Helen Jane Mountstuart Russell,1837-01-01T00:00:00Z,1837,y,NA,point in time,main,1837-00-00,date of birth,NA,NA,P26,NA,date of birth,1,1,January,1837,birth,1837-01-01,Q1039-c0afc2ab-466f-8317-99fc-c8d781896414
Q822,Marie de Chambrier,1837-01-01T00:00:00Z,1837,y,NA,point in time,main,1837-00-00,date of birth,NA,NA,P26,NA,date of birth,1,1,January,1837,birth,1837-01-01,Q822-1ed14a85-4869-5f17-2725-8c812f683f04
Q1376,Charlotte Schreiber,1837-01-01T00:00:00Z,1837,y,NA,edtf,main,1837-00-00,had child in,NA,NA,P131,NA,had child in,1,1,January,1837,other,1837-01-01,Q1376-90fe9116-42e5-d789-f92f-04efb438cff5
Q3270,Constance Frederica Gordon-Cumming,1837-05-26T00:00:00Z,1837,ymd,NA,point in time,main,1837-05-26,date of birth,NA,NA,P26,NA,date of birth,5,146,May,26 May 1837,birth,1837-05-26,Q3270-31A6159C-CE5C-462E-9A96-88F2E278E5FC
Q779,Harriet Loyd Lindsay,1837-06-30T00:00:00Z,1837,ymd,NA,point in time,main,1837-06-30,date of birth,NA,NA,P26,NA,date of birth,6,181,June,30 June 1837,birth,1837-06-30,Q779-F42659BD-57D5-499E-8D02-7FC00A1A01DD
Q786,Augusta Bethell,1838-01-01T00:00:00Z,1838,y,NA,point in time,main,1838-00-00,date of birth,NA,NA,P26,NA,date of birth,1,1,January,1838,birth,1838-01-01,Q786-ce6f3c62-4979-7404-0be7-c1e333937fc5
Q1003,Frances Arabella O'Grady,1838-01-01T00:00:00Z,1838,y,NA,point in time,main,1838-00-00,date of birth,NA,NA,P26,NA,date of birth,1,1,January,1838,birth,1838-01-01,Q1003-d718b154-4eee-3622-0a0a-2ea80bd98a97
Q640,Margaret Catherine Ffennell,1838-01-01T00:00:00Z,1838,y,NA,point in time,main,1838-00-00,date of birth,NA,NA,P26,NA,date of birth,1,1,January,1838,birth,1838-01-01,Q640-5ee4e0b1-4cd8-8109-051e-61f1fd7d192d
Q965,Mary G. Lupton,1838-01-01T00:00:00Z,1838,y,NA,point in time,main,1838-00-00,date of birth,NA,NA,P26,NA,date of birth,1,1,January,1838,birth,1838-01-01,Q965-46622f4b-43ab-25ed-e06d-6f956d6cc1f0
Q1376,Charlotte Schreiber,1838-01-01T00:00:00Z,1838,y,NA,edtf,main,1838-00-00,had child in,NA,NA,P131,NA,had child in,1,1,January,1838,other,1838-01-01,Q1376-a5d031a8-4273-854d-93ca-7cafe421a559
